,tweets,words,
2," @RhiannaV97 I was thinking I'll grab a random doctor at a hospital and be like, NEUROSURGEON? If no, let them go. If yes, kidnapping time.",thinking ill grab random doctor hospital neurosurgeon kidnapping time,Non-Medical
3, My doctor doesn't know her right from her left. Someone help me.,doctor left help,Non-Medical
4, @SophieLamb12 are you at the hospital?,hospital,Non-Medical
5, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/axG1G5XOGa,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
6," Hmmm what should my last meal be b4 I go to hospital? Something 4 energy cuz once u check in u can't eat or drink :( place <tweepy.models.Place object at 0x0291F550> coordinates {u'type': u'Point', u'coordinates': [-97.128557, 32.94116774]}",hmmm meal b4 hospital energy cuz check ca eat drink,Non-Medical
7, @WindmillWAG11 as hospital already seen her &amp; will no doubt take a few weeks if it's that bad.,hospital seen doubt weeks bad,Non-Medical
9, My Medical Choice http://t.co/Y33O2H10tq,medical choice,Non-Medical
10, Someone is taking the nerf war to serious. Nerf gun had to go to the doctor with us? http://t.co/IQGMcbslws,taking nerf war serious nerf gun doctor,Non-Medical
12, My Medical Choice http://t.co/kTIkpKdYPM,medical choice,Non-Medical
13," Can I tell them to be sick and faulty, because am their Doctor?",tell sick faulty doctor,Non-Medical
16, My choice..RT @caitlinng: @geelatt find it more comfy to NOT wear a seatbelt.. dont mean u'll feel the same in a hospital bed or 6 ft under,choicert comfy wear seatbelt dont mean ull feel hospital bed ft,Non-Medical
18, : When did you become a doctor Aryan? Me: The night before my biology final. ?? #storyofallstudents http://t.co/7Z9atV7eal,doctor aryan night biology final #storyofallstudents,Non-Medical
21, Has a doctor ever gave you an inhaler? No why? Cuz you got ass maw!,doctor inhaler cuz ass maw,Non-Medical
23," @DubiousEndeavor You shouldnt google it, you should google the nearest doctor :D",shouldnt google google nearest doctor,Non-Medical
28, A top Berlin hospital plans to investigate the conduct of drug trials in the former East Germany amid allegations that some patients were..,top berlin hospital plans investigate conduct drug trials former east germany amid allegations patients,Non-Medical
29, Have procrastinated as much as humanly possible (including trip to eye doctor!). Must now write. Sex scene looming either today or tomorrow.,procrastinated humanly including trip eye doctor write sex scene looming tomorrow,Non-Medical
35, Hospital tomorrow ??,hospital tomorrow,Non-Medical
36, @deerohdear Someone call The Doctor.   http://t.co/ESw3efiUmw,call doctor,Non-Medical
39, Why do I always have to wait for the doctor with my pants off,wait doctor pants,Non-Medical
41, @Sageerickson @noaherickson Angelina Jolie had her tits removed: http://t.co/sar2l55Hun @DaneCook,angelina jolie tits removed,Non-Medical
45, human moment: a son says he loves his mom for the first time and means it. She's in a hospital bed and they're not sure if she heard it,human moment son loves mom time means shes hospital bed heard,Non-Medical
49, Waiting at the doctor is the absolute WORST #ughh,waiting doctor absolute worst #ughh,Non-Medical
50," @mehersoni @SahilBulla @ShreyaSamant @shrishtea @Nirja @pricisely @AaruC Boy and girls, this : http://t.co/C2lHnpwkvC",boy girls,Non-Medical
52, At least fav place since one hr...Hospital A&amp;E! :( #LDtales http://t.co/Z4SkgAdDQk,fav hrhospital aampe #ldtales,Non-Medical
53, I need to go to the doctor .,doctor,Non-Medical
55, Taking my nephew to the doctor cause I'm such a great aunt lol jk but no really,taking nephew doctor cause aunt lol jk,Non-Medical
56, @Elleneff @Brackers_ @LFBarfe That'll be a phrase now. Get it trending during Eurovision or Doctor Who. Good luck with that.,thatll phrase trending eurovision doctor luck,Non-Medical
59," Y'all should follow this naughty bae, a model and medical student, crazu and fun as me:D, the best part is she follows back.",yall follow naughty bae model medical student crazu fun med follows,Non-Medical
61, I unlocked the Doctor Who Countdown to the Season Finale: 4 Days sticker on #GetGlue! http://t.co/ryZ8isKUG3,unlocked doctor countdown season finale days sticker #getglue,Non-Medical
62, A doctor who uses a natural approach to healing: If you are not getting the results you want from conventional... http://t.co/r1ax2wjxe1,doctor natural approach healing getting results conventional,Non-Medical
64," I'm Doctor TC, conscience, Tron Cat, I'm Ace, I'm Wolf Haley, I'm You.",doctor tc conscience tron cat ace wolf haley,Non-Medical
67, @Melalaniee don't break nothing. Ain't nobody got time for the hospital.,break ai time hospital,Non-Medical
70," To #arabs at #montreal Jewish hospital. Why don't you go to Islamic hospital? They still use mercury, sulfur, and Koran verses. It's good 4u",#arabs #montreal jewish hospital islamic hospital mercury sulfur koran verses,Non-Medical
71, The daleks put the doctor in a room with the highest ranking daleks and the dalek parliament or whatever,daleks doctor ranking daleks dalek parliament whatever,Non-Medical
